countyfp,State_FIPS,Name,pop2016,pop2010,pop2000,pop1990,pop1980,pop1970,pop1960,pop1950,pop1940,pop1930,pop1920,pop1910,pop1900,Dem_RUCA,Dem_Desc,EDR
1,27,Aitkin,15583,16202,15301,12425,13404,11403,12162,14327,17865,15009,15043,10371,6743,A,Entirely rural,EDR 03
3,27,Anoka,345957,330844,298084,243641,195998,154556,85916,35579,22443,18415,15626,12493,11313,D,Entirely urban,EDR 11
5,27,Becker,33734,32504,30000,27881,29336,24372,23959,24836,26562,22503,22851,18840,14375,C,Urban/town/rural mix,EDR 04
7,27,Beltrami,46106,44442,39650,34384,30982,26373,23425,24962,26107,20707,27079,19337,11030,B,Town/rural mix,EDR 02
9,27,Benton,39992,38451,34226,30185,25187,20841,17287,15911,16106,15056,14073,11615,9912,C,Urban/town/rural mix,EDR 07W
11,27,Big Stone,5050,5269,5820,6285,7716,7941,8954,9607,10447,9838,9766,9367,8731,A,Entirely rural,EDR 06W
13,27,Blue Earth,66441,64013,55941,54044,52314,52322,44385,38327,36203,33847,31477,29337,32263,D,Entirely urban,EDR 09
15,27,Brown,25331,25893,26911,26984,28645,28887,27676,25895,25544,23428,22421,20134,19787,B,Town/rural mix,EDR 09
17,27,Carlton,35738,35386,31671,29259,29936,28072,27932,24584,24212,21232,19391,17559,10017,C,Urban/town/rural mix,EDR 03
19,27,Carver,100262,91042,70205,47915,37046,28310,21358,18155,17606,16936,16946,17455,17544,D,Entirely urban,EDR 11
21,27,Cass,28993,28567,27150,21791,21050,17323,16720,19468,20646,15591,15897,11620,7777,B,Town/rural mix,EDR 05
23,27,Chippewa,12133,12441,13088,13228,14941,15109,16320,16739,16927,15762,15720,13458,12499,B,Town/rural mix,EDR 06W
25,27,Chisago,54748,53887,41101,30521,25717,17492,13419,12669,13124,13189,14445,13537,13248,D,Entirely urban,EDR 07E
27,27,Clay,62875,58999,51229,50422,49327,46585,39080,30363,25337,23120,21780,19640,17942,D,Entirely urban,EDR 04
29,27,Clearwater,8827,8695,8423,8309,8761,8013,8864,10204,11153,9546,8569,6870,NA,B,Town/rural mix,EDR 02
31,27,Cook,5286,5176,5168,3868,4092,3423,3377,2900,3030,2435,1841,1336,810,A,Entirely rural,EDR 03
33,27,Cottonwood,11470,11687,12167,12694,14854,14887,16166,15763,16143,14782,14570,12651,12069,B,Town/rural mix,EDR 08
35,27,Crow Wing,63940,62500,55099,44249,41722,34826,32134,30875,30226,25627,24566,16861,14250,B,Town/rural mix,EDR 05
37,27,Dakota,417486,398552,355904,275227,194279,139808,78303,49019,39660,34592,28967,25171,21733,D,Entirely urban,EDR 11
39,27,Dodge,20506,20087,17731,15731,14773,13037,13259,12624,12931,12127,12552,12094,13340,D,Entirely urban,EDR 10
41,27,Douglas,37456,36009,32821,28674,27839,22892,21313,21304,20369,18813,19039,17669,17964,B,Town/rural mix,EDR 04
43,27,Faribault,13935,14553,16181,16937,19714,20896,23685,23879,23941,21642,20998,19949,22055,B,Town/rural mix,EDR 09
45,27,Fillmore,21003,20866,21122,20777,21930,21916,23768,24465,25830,24748,25330,25680,28238,C,Urban/town/rural mix,EDR 10
47,27,Freeborn,30446,31255,32584,33060,36329,38064,37891,34517,31780,28741,24692,22282,21838,B,Town/rural mix,EDR 10
49,27,Goodhue,46676,46183,44127,40690,38749,34763,33035,32118,31564,31317,30799,31637,31137,C,Urban/town/rural mix,EDR 10
51,27,Grant,5956,6018,6289,6246,7171,7462,8870,9542,9828,9558,9788,9114,8935,A,Entirely rural,EDR 04
53,27,Hennepin,1232483,1152425,1116200,1032431,941411,960080,842854,676579,568899,517785,415419,333480,228340,D,Entirely urban,EDR 11
55,27,Houston,18814,19027,19718,18497,18382,17556,16588,14435,14735,13845,14013,14297,15400,C,Urban/town/rural mix,EDR 10
57,27,Hubbard,20718,20428,18376,14939,14098,10583,9962,11085,11085,9596,10136,9831,6578,B,Town/rural mix,EDR 02
59,27,Isanti,39025,37816,31287,25921,23600,16560,13530,12123,12950,12081,13278,12615,11675,C,Urban/town/rural mix,EDR 07E
61,27,Itasca,45242,45058,43992,40863,43069,35530,38006,33321,32996,27224,23876,17208,4573,B,Town/rural mix,EDR 03
63,27,Jackson,9944,10266,11268,11677,13690,14352,15501,16306,16805,15863,15955,14491,14793,B,Town/rural mix,EDR 08
65,27,Kanabec,15830,16239,14996,12802,12161,9775,9007,9192,9651,8558,9086,6461,4614,C,Urban/town/rural mix,EDR 07E
67,27,Kandiyohi,42495,42239,41203,38761,36763,30548,29987,28644,26524,23574,22060,18969,18416,B,Town/rural mix,EDR 06E
69,27,Kittson,4333,4552,5285,5767,6672,6853,8343,9649,10717,9688,10638,9669,7889,A,Entirely rural,EDR 01
71,27,Koochiching,12628,13311,14355,16299,17571,17131,18190,16910,16930,14078,13520,6431,NA,B,Town/rural mix,EDR 03
73,27,Lac qui Parle,6715,7259,8067,8924,10592,11164,13330,14545,15509,15398,15554,15435,14289,A,Entirely rural,EDR 06W
75,27,Lake,10625,10866,11058,10415,13043,13351,13702,7781,6956,7068,8251,8011,4654,B,Town/rural mix,EDR 03
77,27,Lake of the Woods,3814,4045,4522,4076,3764,3987,4304,4955,5975,4194,NA,NA,NA,A,Entirely rural,EDR 02
79,27,Le Sueur,27591,27703,25426,23239,23434,21332,19906,19088,19227,17990,17870,18609,20234,C,Urban/town/rural mix,EDR 09
81,27,Lincoln,5783,5896,6429,6890,8207,8143,9651,10150,10797,11303,11268,9874,8966,A,Entirely rural,EDR 08
83,27,Lyon,25699,25857,25425,24789,25207,24273,22655,22253,21569,19326,18837,15722,14591,B,Town/rural mix,EDR 08
85,27,McLeod,35842,36651,34898,32030,29657,27662,24401,22198,21380,20522,20444,18691,19595,C,Urban/town/rural mix,EDR 06E
87,27,Mahnomen,5465,5413,5190,5044,5535,5638,6341,7059,8054,6153,6197,3249,NA,A,Entirely rural,EDR 02
89,27,Marshall,9324,9439,10155,10993,13027,13060,14262,16125,18364,17003,19443,16338,15698,C,Urban/town/rural mix,EDR 01
91,27,Martin,19829,20840,21802,22914,24687,24316,26986,25655,24656,22401,21085,17518,16936,B,Town/rural mix,EDR 09
93,27,Meeker,23110,23300,22644,20846,20594,18810,18887,18966,19277,17914,18103,17022,17753,B,Town/rural mix,EDR 06E
95,27,Mille Lacs,25866,26097,22330,18670,18430,15703,14560,15165,15558,14076,14180,10705,8066,C,Urban/town/rural mix,EDR 07E
97,27,Morrison,32821,33198,31712,29604,29311,26949,26641,25832,27473,25442,25841,24053,22891,B,Town/rural mix,EDR 05
99,27,Mower,39163,39163,38603,37385,40390,43783,48498,42277,36113,28065,25993,22640,22335,C,Urban/town/rural mix,EDR 10
101,27,Murray,8329,8725,9165,9660,11507,12508,14743,14801,15060,13902,13631,11755,11911,A,Entirely rural,EDR 08
103,27,Nicollet,33575,32727,29771,28076,26929,24518,23196,20929,18282,16550,15036,14125,14774,C,Urban/town/rural mix,EDR 09
105,27,Nobles,21848,21378,20832,20098,21840,23208,23365,22435,21215,18618,17917,15210,14932,B,Town/rural mix,EDR 08
107,27,Norman,6579,6852,7442,7975,9379,10008,11253,12909,14746,14061,14880,13446,15045,A,Entirely rural,EDR 01
109,27,Olmsted,153102,144248,124277,106470,92006,84104,65532,48228,42658,35426,28014,22497,23119,D,Entirely urban,EDR 10
111,27,Otter Tail,58085,57303,57159,50714,51937,46097,48960,51320,53192,51006,50818,46036,45375,B,Town/rural mix,EDR 04
113,27,Pennington,14235,13930,13584,13306,15258,13266,12468,12965,12913,10487,12091,9376,NA,B,Town/rural mix,EDR 01
115,27,Pine,28874,29750,26530,21264,19871,16821,17004,18223,21478,20264,21117,15878,11546,C,Urban/town/rural mix,EDR 07E
117,27,Pipestone,9202,9596,9895,10491,11690,12791,13605,14003,13794,12238,12050,9553,9264,B,Town/rural mix,EDR 08
119,27,Polk,31660,31600,31369,32498,34844,34435,36182,35900,37734,36019,37090,36001,35429,C,Urban/town/rural mix,EDR 01
121,27,Pope,11049,10995,11236,10745,11657,11107,11914,12862,13544,13085,13631,12746,12577,B,Town/rural mix,EDR 04
123,27,Ramsey,540649,508640,511035,485765,459784,476255,422525,355332,309935,286721,244554,223675,170554,D,Entirely urban,EDR 11
125,27,Red Lake,4007,4089,4299,4525,5471,5388,5830,6806,7413,6887,7263,6564,12195,A,Entirely rural,EDR 01
127,27,Redwood,15263,16059,16815,17254,19341,20024,21718,22127,22290,20620,20908,18425,17261,B,Town/rural mix,EDR 08
129,27,Renville,14660,15730,17154,17673,20401,21139,23249,23954,24625,23645,23634,23123,23693,A,Entirely rural,EDR 06E
131,27,Rice,65622,64142,56665,49183,46087,41582,38988,36235,32160,29974,28307,25911,26080,C,Urban/town/rural mix,EDR 10
133,27,Rock,9564,9687,9721,9806,10703,11346,11864,11278,10933,10962,10965,10222,9668,C,Urban/town/rural mix,EDR 08
135,27,Roseau,15626,15629,16338,15026,12574,11569,12154,14505,15103,12621,13305,11338,6994,B,Town/rural mix,EDR 01
137,27,St. Louis,199980,200226,200528,198213,222229,220693,231588,206062,206917,204596,206391,163274,82932,C,Urban/town/rural mix,EDR 03
139,27,Scott,143680,129928,89498,57846,43784,32423,21909,16486,15585,14116,14245,14888,15147,D,Entirely urban,EDR 11
141,27,Sherburne,93528,88499,64417,41945,29908,18344,12861,10661,10456,9709,9651,8136,7281,D,Entirely urban,EDR 07W
143,27,Sibley,14827,15226,15356,14366,15448,15845,16228,15816,16625,15865,15635,15540,16862,C,Urban/town/rural mix,EDR 09
145,27,Stearns,155652,150642,133166,118791,108161,95400,80345,70681,67200,62121,55741,47733,44464,C,Urban/town/rural mix,EDR 07W
147,27,Steele,36805,36576,33680,30729,30328,26931,25029,21155,19749,18475,18061,16146,16524,B,Town/rural mix,EDR 10
149,27,Stevens,9693,9726,10053,10634,11322,11218,11262,11106,11039,10185,9778,8293,8721,B,Town/rural mix,EDR 04
151,27,Swift,9419,9783,11956,10724,12920,13177,14936,15837,15469,14735,15093,12949,13503,B,Town/rural mix,EDR 06W
153,27,Todd,24233,24895,24426,23363,24991,22114,23119,25420,27438,26170,26059,23407,22214,B,Town/rural mix,EDR 05
155,27,Traverse,3356,3558,4134,4463,5542,6254,7503,8053,8283,7938,7943,8049,7573,A,Entirely rural,EDR 04
157,27,Wabasha,21273,21676,21610,19744,19335,17224,17007,16878,17653,17613,17919,18554,18924,C,Urban/town/rural mix,EDR 10
159,27,Wadena,13761,13843,13713,13154,14192,12412,12199,12806,12772,10990,10699,8652,7921,B,Town/rural mix,EDR 05
161,27,Waseca,18911,19136,19526,18079,18448,16663,16041,14957,15186,14412,14133,13466,14760,C,Urban/town/rural mix,EDR 09
163,27,Washington,253117,238136,201130,145896,113571,82948,52432,34544,26430,24753,23761,26013,27808,D,Entirely urban,EDR 11
165,27,Watonwan,10908,11211,11876,11682,12361,13298,14460,13881,13902,12802,12457,11382,11496,B,Town/rural mix,EDR 09
167,27,Wilkin,6358,6576,7138,7516,8454,9389,10650,10567,10475,9791,10187,9063,8080,B,Town/rural mix,EDR 04
169,27,Winona,50948,51461,49985,47828,46256,44409,40937,39841,37795,35144,33653,33398,35686,C,Urban/town/rural mix,EDR 10
171,27,Wright,132550,124700,89986,68710,58681,38933,29935,27716,27550,27119,28685,28082,29157,C,Urban/town/rural mix,EDR 07W
173,27,Yellow Medicine,9935,10438,11080,11684,13653,14418,15523,16279,16917,16625,16550,15406,14602,B,Town/rural mix,EDR 06W
